id,deleted,version,created_date,awarded_amount,awarded_duration,channel_code,code_ls,fees,label,loan_contract_base64,partner_code,pki_request_id,rate,requested_amount,requested_deadlines,requested_duration,score,status,total_loan_amount,bank_signed_contract_id,fk_client,client_signed_contract_id,other_revenue,people_in_charge_of,revenue,activity_sector_id,employer_contract_type_id,marital_status_id,profession_id,studies_level_id,eservice_tracking_id,client_signed_contract_ged_id,credit_wallet_request_uid,credit_wallet_transaction_ref,ceiling_updated,rejection_reason,annual_rate,annual_tci,m2t_remuneration,net_annual_rate,effective_annual_rate_of_charge,funds_unlock_retry_count,nb_ops_paie_m1,nb_ops_paie_m2,nb_ops_paie_m3,nb_ops_paie_m4,nb_ops_paie_m5,nb_ops_paie_m6,nb_vir_recu_in_m1,nb_vir_recu_in_m2,nb_vir_recu_in_m3,nb_vir_recu_in_m4,nb_vir_recu_in_m5,nb_vir_recu_in_m6,mt_moy_hebdo_3m,contract_nature,moy_mens_pay_telec_1an,moy_mens_pay_eauelec_1an,moy_mens_trans_emis_1an,moy_mens_trans_recus_1an,nb_fact_oay_horsrecouv_1an,nb_fact_oay_1an,awarded_deadlines,rejection_flag,produit,account_active,cdg_creation_date,cdg_nb_bourses,cdg_total_amount,cdgmad_creation_date,cdgmad_gtrx_etat,cdgmad_gtrx_mnt,cdgmad_gtrx_num,last_amount,last_amount_date,code_es
699ee413-4fe7-4a76-a8e1-75e4d93dd3c9,f,2022-02-24 15:08:18.603,2022-02-24 15:08:18.602582,,,012006,,,,,011,,,200,1,3,,CREATED,,,2801bc6e-4dfc-46c7-9bf0-b4a678403ac4,,,,,,,,,,8446469,,,,f,,,,,,,0,2,2,3,6,5,6,1,1,1,1,1,1,300,01,1,1,1,1,1,1,,,,f,,,,,,,,,,
0007e212-b9a1-4813-bbda-63d8f098252b,f,2022-03-15 11:10:57.267,2022-03-15 11:10:57.267617,,,012006,,,,,011,,,200,1,5,,CREATED,,,8f99f52b-679c-4004-84f5-04bb93d71f94,,,,,,,,,,8602940,,,,f,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,110.5,01,1,1,1,1,1,1,,,,f,,,,,,,,,,
2629afc1-e2ce-44c4-8b81-3c6133115ba9,f,2022-03-15 11:20:16.334,2022-03-15 11:20:16.333903,,,012006,,,,,011,,,200,1,7,,CREATED,,,8f99f52b-679c-4004-84f5-04bb93d71f94,,,,,,,,,,8603023,,,,f,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,110.5,01,1,1,1,1,1,1,,,,f,,,,,,,,,,
97dc3c3f-f132-4498-b553-e4f772dacb93,f,2023-10-30 16:14:32.069,2023-10-30 16:14:32.068722,,,012006,,,,,011,,,200,1,90,,CREATED,,,26bcf6e6-3f52-4d27-93c3-8a3cd1f7e42a,,,,,,,,,,660237,,,,f,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,TAYSSIR,t,2022-02-01,3,1000,2023-08-01,Valide,1000,537819812,1000,2023-08-01,
15734958-e708-4405-a0af-1afa93658786,f,2021-12-08 11:28:00.417,2021-12-08 11:28:00.41731,,,012006,,,,,011,,,200,,,,REJECTED,,,9965da80-e8e8-4bdd-be81-3fa01bba3787,,,,,,,,,,8130605,,,,f,loan.already.in.progress,,,,,,0,3,2,2,1,1,1,,,,,,,300,,,,,,,,,,,f,,,,,,,,,,
a47c88b8-d4d9-417a-9857-0c8289639b3c,f,2022-01-12 14:10:17.78,2022-01-12 14:10:17.772512,,,012006,,,,,011,,,200,,,,REJECTED,,,c682e774-b18c-4890-9cc4-4f616523f507,,,,,,,,,,8222667,,,,f,loan.already.in.progress,,,,,,0,2,2,3,6,5,6,,,,,,,300,,,,,,,,,,,f,,,,,,,,,,
4fd53051-b667-4967-9830-645a9debfb82,f,2021-12-31 11:06:39.045,2021-12-31 11:06:39.043923,,,012006,,,,,011,,,200,1,7,,CREATED,,,c7db3bd9-bd18-4fc0-af54-e508340121ba,,,,,,,,,,8205928,,,,f,,,,,,,0,2,2,3,6,5,6,,,,,,,300,,,,,,,,1,,,f,,,,,,,,,,
cbbb0197-8437-4de1-a2e2-7be5e639a1c9,f,2022-01-12 14:12:10.528,2022-01-12 14:12:10.527987,,,012006,,,,,011,,,200,1,5,,CREATED,,,e5591894-efca-4a41-9440-2df0c9392085,,,,,,,,,,8222758,,,,f,,,,,,,0,2,2,3,6,5,6,,,,,,,300,,,,,,,,1,,,f,,,,,,,,,,
c04ba0d7-6f16-43ee-aa31-69ac3d651093,f,2021-09-27 14:30:12.784,2021-09-27 14:30:12.637192,1000,30,012006,,,,,011,,,1000,4,30,6,REJECTED,,,f33c2d7b-fc01-4511-85e0-fa3e123c7298,,,,,,,,,,6856839,,,,f,insufficient.score,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,300.33,02,2,2,0.5,0.33,5,10,4,,,f,,,,,,,,,,
ace02705-9c9c-460e-b517-dabd7b380ff6,f,2021-12-22 14:10:29.891,2021-12-22 14:10:29.890816,,,012006,,,,,011,,,200,1,5,,CREATED,,,e5591894-efca-4a41-9440-2df0c9392085,,,,,,,,,,8185757,,,,f,,,,,,,0,2,2,3,6,5,6,,,,,,,300,,,,,,,,1,,,f,,,,,,,,,,
938fcc11-e805-4f3f-87fb-fff34c2141d3,f,2023-09-27 15:34:03.619,2023-09-27 15:34:03.618816,,,012030,,,,,011,,,200,,,,REJECTED,,,f465aa5a-7525-441e-9f3e-e2ab01dc940b,,,,,,,,,,528112,,,,f,loan.already.in.progress,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,TAYSSIR,t,,1,480,2023-02-02,Valide,480,537819812,480,2023-02-02,
